Cell:,AO333x2_ASAP7_75t_R,Width:,33,HPWL:,124.00
Name,X,Y,Orient,Row,Flipped
MM15,0.000,1.0,MX,PMOS,False
MM16,0.162,1.0,MX_R180,PMOS,True
MM17,0.324,1.0,MX_R180,PMOS,True
MM4,0.486,1.0,MX_R180,PMOS,True
MM11,0.810,1.0,MX,PMOS,False
MM3,0.000,0.0,MY,NMOS,True
MM13,0.972,1.0,MX,PMOS,False
MM14,0.324,0.0,R0,NMOS,False
MM12,1.134,1.0,MX,PMOS,False
MM10,0.486,0.0,R0,NMOS,False
MM5,1.296,1.0,MX,PMOS,False
MM7,1.458,1.0,MX,PMOS,False
MM6,1.620,1.0,MX,PMOS,False
MM0,0.648,0.0,R0,NMOS,False
MM18,0.810,0.0,MY,NMOS,True
MM19,0.972,0.0,R0,NMOS,False
MM9,1.134,0.0,R0,NMOS,False
MM8,1.296,0.0,R0,NMOS,False
MM1,1.458,0.0,MY,NMOS,True
MM2,1.620,0.0,MY,NMOS,True
